,img_href,dt,name,text
0,http://www.stu.ru/images/news/preview/48906.jpg,23/10/13,Студенты СГУПСа борются за Кубок ректора по ГТ,"С 11 октября на спортивных сооружениях и в бассейне университета проходит сдача норм комплекса ГТО в рамках соревнования на Кубок ректора.Команды всех факультетов (не более двадцати человек в команде), сменяя друг друга, подтягиваются из виса на высокой перекладине или поднимают гири, или сгибают-разгибают  рук в упоре лёжа; поднимают туловища из положения лежа на спине за 1 минуту; прыгают в длину с места; бегают на различные дистанции; метают спортивный снаряд;  стреляют из пневматической винтовки; плавают – всего двенадцать видом программы.Соревнования продлятся до 20 октября, а в завершение будут подведены итоги и награждены победители как в командном, так и в личном первенстве."
1,http://www.stu.ru/images/news/preview/48905.jpg,23/10/13,Студенты университета начали традиционную уборку территории вуз,"Дважды в год – весной и осенью – по приказу ректора факультеты отряжают трудовой десант на заранее отведенный для них участок кампуса. Административно-хозяйственное подразделение позаботилось о том, чтобы без внимания не остался ни один «пятачок» территории. А что касается самих студентов, то они называют между собой эту уборку субботником, поскольку она предшествует общегородскому субботнику, который в этом году состоится 14 октября. И, как видим, поработать физически на благо университета для них – только в удовольствие!  "
2,http://www.stu.ru/images/news/preview/48904.jpg,23/10/12,Победа студентов в конкурсе грантов,"В 2023 году Фонд содействия инновациям провел третью и четвертую волну конкурса студенческих стартапов. В этом году на конкурс поступило более 4 тыс. заявок, что в 2 раза больше, чем в прошлом. Кроме того, отличительной чертой 2023 года стало включение в список нового направления, а именно – «Креативные индустрии». Одним из победителей в данном направлении стал студент факультета УТТК Смирнов Артём с проектом «Студия образовательного контента». В свою очередь, в направлении «Цифровые технологии» победительницей стала Жарликова Софья, аспирант факультета МТ, представив свой проект «Студенческий кванториум робототехники и термодинамических технологий ¬– Энтропия системы», который позволит получить студентам и сотрудникам СГУПС дополнительные знания в робототехнике, термодинамике и термодинамических технологиях. С идеей коммерциализации интеллектуальной производственной технологии «Автоматизированная установка измерения пружин методами технического зрения» в конкурсе победил студент факультета ФБИ Суров Данил. Проект реализуется в рамках работ НИЛ ФМК и позволит значительно ускорить процесс дефектовки пружин вагонов на производстве.Всего за 2022 и 2023 годы в конкурсе «Студенческий стартап» студенты нашего университета  выиграли 5 000 000 рублей.Поздравляем победителей и желаем развития их проектов!"
3,http://www.stu.ru/images/news/preview/48903.jpg,23/10/12,СГУПС принял участие в образовательном форуме «Ты можешь!,"Форум прошел 10 октября в ДК «Прогресс» и на нем старшеклассникам раскрыли секреты успешной сдачи ЕГЭ. Узнать их приехали сюда 450 школьников, которые помимо тонкостей сдачи ЕГЭ получили ценную информацию о нашем университете: о факультетах, порядке поступления, условиях учебы и программах обучения, о вероятности успешного трудоустройства после окончания учебы и возможности дальнейшего развития своих интересов в вузе. Центром по связям с общественностью был организован стенд СГУПСа, к которому постоянно подходили не только школьники, но и их преподаватели и родители. Они получали раздаточный материал и устные консультации и пояснения. "
4,http://www.stu.ru/images/news/preview/48902.jpg,23/10/11,«Механики» СГУПСа - чемпионы России по специальности,"В конце сентября, накануне юбилея факультета УТТК, шесть дипломных проектов выпускников СГУПСа победили во Всероссийском смотре-конкурсе выпускных квалификационных работ по специальности «Наземные транспортно-технологические средства» (специализация «Подъемно-транспортные, строительные, дорожные средства и оборудование»). Смотр-конкурс ежегодно проводит Белгородский государственный технический университет имени В. Г. Шухова. В этом году в нем приняли участие представители 20 вузов страны и ближнего зарубежья. Члены жюри в составе представите-лей ведущих российских вузов рассмотрели более 100 ВКР. Среди объектов изучения и анализа работ – грузоподъемные, строительные, путевые, дорожные и землеройно-транспортные машины; машины вертикального и непрерывного транспорта, машины для природобустройства и охраны окружающей среды, машины для производства и переработки дорожно-строительных материалов, и даже буровая техника. Выпускники факультета УТТК представили на конкурс семь дипломных проектов, шесть из которых стали лучшими в своей номинации, одна работа заняла третье место. Имена победителей: Эльвира Куспекова, Владислав Приходько, Никита Трусов, Даниил Карамнов, Александр Вдовин, Роман Слабожанин. Третье место занял Семена Ренев. "
5,http://www.stu.ru/images/news/preview/48901.jpg,23/10/11,Экватор для проектов команд-участников «Брендированной сессии ОАО «РЖД,"6 октября в дистанционном формате состоялась встреча участников проекта «Брендированная сессия для отбора новых инновационных проектов для Западно-Сибирской железной дороги». Напоминаем, что в период с 13 сентября по 20 октября студенческим командам предстоит разработать программное обеспечение, направленное на обучение сотрудников и поиск технологических решений для повышения эффективности работы железнодорожных узлов, другими словами, сделать виртуальную «Железнодорожную фабрику процессов».На Экваторе команды Новосибирских университетов представили свои идеи, некоторые из которых уже имели статус минимально-жизнеспособного продукта, получили комментарии по доработке и улучшению от организаторов и курирующего представителя от ОАО «РЖД» - Козловского Алексея Леонтьевича, начальника центра повышения эффективности труда, персонала Западно-Сибирской железной дороги с участием Симочкина Игоря Юрьевича, начальника Западно-Сибирского центра инновационного развития.Теперь 5 команд выходят на финишную прямую по оформлению своих проектных продуктов, которые будут соревноваться за статус победителя. Надеемся, что после комментариев проекты станут только сильнее, а участники получат удовольствие от процесса подготовки! "
6,http://www.stu.ru/images/news/preview/48900.jpg,23/10/09,Помощник Президента РФ И.Е. Ливитин посетил СГУП,"6 октября 2023 года Сибирский государственный университет путей сообщения посетили помощник Президента России И.Е. Ливитин, губернатор Новосибирской области А.А. Травников и начальник Западно-Сибирской железной дороги А.В. Грицай.Их визит состоялся уже на третий день после опубликования на официальном сайте Президента РФ В.В. Путина поручения Правительству рассмотреть вопрос строительства Северо-Сибирской железнодорожной магистрали. В поручении, в частности, говорится об ускорении формирования планов по развитию инфраструктуры Байкало-Амурской и Транссибирской железнодорожных магистралей (БАМ и Транссиб – Восточный полигон РЖД) на период до 2030 г. и на дальнейшую перспективу. «Попутно необходимо рассмотреть вопрос о развитии Западно-Сибирской железной дороги в рамках третьего этапа развития Восточного полигона», говорится в поручении. На встрече с сотрудниками, преподавателями и студентам университета И.Е. Ливитин подчеркнул, что выполнение поручения Президента невозможно без активного участия в этом процессе научного потенциала региона.На что способна наука СГУПСа в реализации намеченных планов было продемонстрировано гостям на импровизированной выставке научных проектов вуза только за последние время. Среди них — проект «Рельсошлифовальный поезд + абразивный круг», «Система каталитического преобразования диз. топлива и водорода», «Развитие сети контейнерных терминалов, промышленных узлов и железнодорожных путей необщего пользования» и др. - всего 15 экспонатов."
7,http://www.stu.ru/images/news/preview/48899.jpg,23/10/09,Тренинг предпринимательских компетенци,"4 октября в Сибирском государственном университете путей сообщения был проведен тренинг предпринимательских компетенций в рамках start-up-конструктора Томского государственного университета.На тренинг было зарегистрировано 82 участника, 70 из которых получили подтверждение своего участия. Перед запуском тренинга было проведено входное тестирование среди его участников (средний балл составил 25.71). По итогам пройденной программы выходное тестирование и анкетирование прошли 68 человек (средний балл 31.79). Все участники получили раздаточный материал в виде блокнота, ручки, информационного флаера, бейджа, ланярда и стикерпака. Образовательный день был наполнен не только занятиями в аудитории, студенты посетили 2 кофе-брейка и комплексный обед с десертами. Место проведения программы имело признаки айдентики мероприятия - ролл-апы. Согласно статистическим данным, участники программы оценили ее актуальность, полезность и применимость, посчитали содержание тренинга доступным и понятным, а организация тренинга понравилась."
8,http://www.stu.ru/images/news/preview/48898.jpg,23/10/05,Амбассадоры РЖ,"Благодаря программе ""Амбассадоры РЖД"", с 21 по 24 сентября, студентка факультета ""Мировая экономика и право"" Татьяна Попова и студент факультета ""Управление процессами перевозок"" Кирилл Левков посетили XV юбилейный Слёт молодежи ОАО ""РЖД"" в Московской области, в котором приняло участие более 1000 работников транспортной отрасли, студентов и сотрудников компаний-партнеров.  Совместно с руководителями сектора реализации молодежной политики амбассадоры со всей страны обсудили развитие программы и план мероприятий на ближайший год.  Программа слета была насыщенной: для участников были проведены лекции, мастер-классы и круглые столы по потокам, а в церемонии закрытия слета принял участие генеральный директор компании Олег Валентинович Белозеров!  Амбассадоры с нашего университета составили план работы на 2023-24 учебный год, который заключается в: 1) проведении агитации программы ""Амбассадоры РЖД"" для студентов с 1 по 5 курс любого направления и формирования команды на ближайший год; 2) проведении ознакомительной лекции для новоиспечённой команды ""Кто такой амбассадор и чем он должен заниматься. Молодежная политика в компании ОАО ""РЖД"" совместно с руководителями сектора реализации молодежной политики Западно-Сибирской железной дороги и проректором по связям с производством и производственному обучению Юрием Дмитриевичем Королишиным ; 3) проведении мастер-классов для студентов университета при участии работников ОАО ""РЖД""; 4) проведении экскурсий на режимные объекты ОАО ""РЖД""; 5) проведении мероприятий в университете, в частности квизов и лекций, направленных на формирование положительного отношения студентов к компании ОАО ""РЖД""; 6) участии в волонтёрских акциях, развлекательных и образовательных мероприятиях, организованных Западно-Сибирской железной дорогой.  Хочешь стать частью команды РЖД уже сейчас? Присоединяйся к программе студенческих амбассадоров!  Тебя ждут встречи с топ-менеджерами холдинга, а также возможность развить навыки и получить крутые подарки от компании.  В программе тебя ждёт: - Представление РЖД на карьерных ивентах - Рассказы однокурсникам о проектах холдинга и преимуществах работы у нас - Проведение мастер-классы, квизы и профориентационные встречи для студентов - Участие в мероприятиях совместно с работниками компании - Общение с работниками и новые знакомства  Компания ОАО ""РЖД"" - это не только про работу, карьеру и успех. РЖД - это про возможности, развитие, дела. В ней любое хобби может перерасти в дело твоей жизни!"
9,http://www.stu.ru/images/news/preview/48897.jpg,23/09/29,Диалог с предпринимателями продолжаетс,"В конце сентября в нашем университете прошла  очередная встреча  с бизнесменами Новосибирска в рамках мероприятия «Диалог с предпринимателями». Общероссийская общественная организация малого и среднего предпринимательства «Опора России» в лице Е.А. Рожанской и факультет «Мировая экономика и право» пригласили традиционно студентов – экономистов профиля «предпринимательская деятельность» (ЭПД). В этот раз к ним пришли люди, которые занимаются развитием социально–предпринимательских проектов.  Гутов Степан  – основатель детского футбольного клуба. Главная миссия его - развивать массовый спорт для детей, влюблять детей в регулярные занятия футболом, независимо от уровня подготовки.  В клубе регулярно занимается 1500 детей. Клуб объединяет людей и стирает границы, а сам проект футбольного клуба – это благотворительный проект, ведь «Лига особенных героев», так он называется, – это бесплатные тренировки по футболу, в том числе и для детей с ограниченными возможностями. Глуздакова Елена - бизнес-тренер, эксперт в развитии социально-предпринимательских проектов и инициатив. Руководитель акселератора ИМПАКТ.НСК. Организатор и партнер первой студенческой стартап-студии в Новосибирске СТАРТАП ЧЕЛЕНДЖ 2021 г.  Елена поделилась опытом работы  в области взаимодействия с федеральными органами исполнительной власти, органами исполнительной власти субъектов РФ, органами местного самоуправления, осветила  образовательные (акселерационные) проекты по развитию малого и среднего предпринимательства и социального предпринимательства в г. Новосибирске и регионе.Встреча прошла продуктивно, студентам был предложен кейс, где они     попытались найти  неординарные решения, опираясь на свой девиз «Экономист, предприниматель - будущей страны создатель» .Завершилась встреча вручением гостям благодарственных писем от факультета."
