,dt,img_href,name,text
0,23/10/13,http://www.usurt.ru/uploads/main/0dd/6528ce4286b52/VWUJkNVZWZU.jpg,Болеем за наших!,Вчера стартовали Всероссийские соревнования среди студентов по волейболу - Кубок СВА УрФО-2023!Турнир проходит в Сургуте.Свой первый день сборная УрГУПС начала с победы в игре с командой СурГПУ со счётом 3:0!Поздравляем команду и желаем дальнейших успехов!Состав участников:СурГПУ (Сургут);СурГУ (Сургут);УралГУФК (Челябинск);НВГУ (Нижневартовск);УрГУПС (Екатеринбург).Сегодня в 18:00 у команды УрГУПС состоится встреча с командой УралГУФК.Болеем за наших!
1,23/10/12,http://www.usurt.ru/uploads/main/0dd/6527debbe9c90/pWSAoOB-_Zg.jpg,Выберем место для фандомата вместе,"Дорогие друзья! В ближайшее время в Уральском государственном университете путей сообщения будет установлен фандомат – специальный автомат для приема и накопления пластиковых бутылок и алюминиевых банок для их дальнейшей переработки.За каждое сданное изделие участник экологической акции получает экобонусы, которые можно копить и тратить в специальной системе.Мы знаем, что студенты и сотрудники УрГУПС очень бережно относятся к природе и с удовольствием поддерживают экологические акции. Просим вас помочь с выбором места, которое, на ваш взгляд, будет самым подходящим для установки фандомата.
Предлагаем вам пройти по ссылке и ответить вопросы. Опрос анонимный. Благодарим за участие!Подробнее о программе"
2,23/10/12,http://www.usurt.ru/uploads/main/0dd/6527cb703d193/QMGgDxdv9Oo.jpg,В Екатеринбурге начала работу патриотическая сессия «Вместе за правду»,"Советник директора КЖТ УрГУПС, руководитель регионального отделения Бессмертного полка России в Свердловской области Сергей Юрьевич Боровиков принял участие в церемонии открытия патриотической сессии «Вместе за правду». Мероприятие проводится для активистов общественных организаций Уральского федерального округа при поддержке Фонда президентских грантов.
Преемственность поколений победителей Великой Отечественной войны и участников СВО – одна из главных тем патриотической сессии Бессмертного полка России.Руководитель регионального отделения Бессмертного полка России в Свердловской области Сергей Юрьевич Боровиков выступил с приветственным словом от имени принимающей стороны и пожелал всем плодотворного общения, обретения новых друзей и рождения ярких идей, которые обязательно найдут свое воплощение в будущих проектах.Участников патриотической сессии ждут панельные дискуссии, площадки по обмену опытом, мастер-классы, премьера документального фильма «Черные ножи» – освободители Европы», посвященного Уральскому добровольческому танковому корпусу, экскурсия по Екатеринбургу «Пьедесталы бессмертия» с церемонией возложения цветов к Вечному огню на площади Коммунаров, а также встреча с Героем России полковником Алексеем Романовым и Героем России, участником специальной военной операции подполковником Максимом Шоломовым."
3,23/10/12,http://www.usurt.ru/uploads/main/0dd/6527c6ec09e10/w7SMJGSPGog.jpg,Кубок первокурсника,"18 октября в 14:00 состоится Кубок первокурсника по футболу среди мужских команд. Соревнования пройдут на стадионе УрГУПС.
Приглашаем вас поддержать наших спортсменов и насладиться красивой игрой!Заседание судейской коллегии состоится 16 октября в 11:30 в спорткомплексе (аудитория 118). Главный судья соревнований - заведующий кафедрой физического воспитания Александр Владимирович Евсеев."
4,23/10/11,http://www.usurt.ru/uploads/main/0dd/652668f7aad3a/BsBiVtnHRtw.jpg,УрГУПС примет участие в профориентационной выставке,"Дорогие абитуриенты!Уже в эти выходные в Екатеринбурге состоится крупнейшая профориентационная выставка «Навигатор поступления»! У вас есть уникальный шанс познакомиться с первым и единственным транспортным вузом Урала, который входит в пятерку лучших университетов России по трудоустройству выпускников.Вы сможете лично пообщаться с представителями приемной комиссии, определиться со специальностью или направлением подготовки, узнать все о поступлении и своих перспективах в будущем, задать интересующие вопросы.Мы будем ждать вас 14 и 15 октября с 10:00 до 18:00 по адресу: ул. Куйбышева, 44Д, БЦ ""Панорама"" (ЦМТЕ).Для участия в выставке необходима регистрация."
5,23/10/11,http://www.usurt.ru/uploads/main/0dd/65263ea45c8ef/kLbr9s5FmBg.jpg,Студенты УрГУПС приняли участие в «Осеннем кроссе УрГЮУ»,"Студенты Уральского государственного университета путей сообщения приняли участие в спортивном легкоатлетическом мероприятии «Осенний кросс УрГЮУ», организованном Фондом выпускников СЮИ-УрГЮА-УрГЮУ и отделом по развитию студенческого спорта Уральского государственного юридического университета. Забег прошел на территории студенческого городка УрГУПС и был посвящен 105-летию юридического вуза. Это уже не первый опыт совместной деятельности двух территориально соседствующих вузов.Исполнительный директор фонда выпускников УрГЮУ Василий Леонидович Порываев рассказал о событии:- С каждым годом желающих принять участие в нашем мероприятии становится все больше. Так, например, с прошлого года «Осенний кросс УрГЮУ» стал межвузовским, и случилось это благодаря участию студентов УрГУПС. Наверняка причина этому - наше давнее соседство. Народная мудрость гласит: «Родственниками становятся по рождению, а соседей даёт Бог», так что нам предначертано быть друзьями в жизни и соперниками в спорте. Вот и сегодня мы - гости друг у друга: вы на нашем кроссе, а мы - на территории вашего студенческого городка. И это здорово, я этому очень рад!Соревнования проходили на двух дистанциях – 5 км и 1918 метров (год образования юридического университета). Все ребята успешно преодолели нужное расстояние, насладились красотой осенней природы и прекрасно провели время. После награждения победителей состоялось дружеское чаепитие с пирогами и сладостями. Что, кстати, тоже часть традиции «Осеннего кросса УрГЮУ» .- Наши ребята уже не в первый раз принимают участие в кроссе УрГЮУ, - отмечает старший преподаватель кафедры физического воспитания УрГУПС Самарина Екатерина Викторовна. - Нам нравится дружеская атмосфера. Это отличная возможность проявить свои спортивные качества, завести полезные знакомства и найти новых товарищей!Елизавета ХазиеваФото Ксении Костыревой"
6,23/10/11,http://www.usurt.ru/uploads/main/0dd/65262cc271973/qcnItg_KSfY.jpg,"Приглашаем на встречу с членом Совета директоров НПЦ ""Промэлектроника""","13 октября в 12:00 в аудитории Б4-75 состоится встреча члена Совета директоров НПЦ «Промэлектроника» Вадима Вадимовича Ляного со студентами УрГУПС.Приглашаются, в первую очередь, студенты специальности «Системы обеспечения движения поездов», а также все желающие.Научно-производственный центр «Промэлектроника» – одна из ведущих российских компаний по разработке микропроцессорных систем железнодорожной автоматики и телемеханики.
Уже более 30 лет системы ""Промэлектроники"" обеспечивают безопасность движения поездов на магистральных железных дорогах, подъездных путях промышленных предприятий и в метрополитене.В состав НПЦ «Промэлектроника» входит:инженерный центр в Екатеринбурге (включает в себя профильные подразделения по разработке станционных, перегонных и локомотивных систем);научно-исследовательские лаборатории;конструкторское бюро;учебный центр;филиалы в разных регионах страны (Северо-Западный, Московский, Дальневосточный, Красноярский и филиал в Республике Казахстан)."
7,23/10/10,http://www.usurt.ru/uploads/main/0dd/6525310966212/ba-fY58SA8U.jpg,Профориентационная встреча,"Сегодня в общеобразовательной школе № 45 города Карталы состоялась профориентационная встреча, на которой у учащихся была уникальная возможность познакомиться с ведущим транспортным вузом Урала.Ректор УрГУПС Александр Геннадьевич Галкин выступил с презентацией и рассказал об образовательной, научной, внеучебной и спортивной деятельности вуза, представил широкий спектр востребованных специальностей и направлений, обратил внимание ребят на преимущества и достижения университетского комплекса.Поступить в УрГУПС - значит получить гарантированное трудоустройство в будущем, интересную работу, высокую заработную плату и социальный пакет. Университет предлагает неограниченные возможности для реализации и развития своих способностей, обучение у высококвалифицированных преподавателей, практику на инновационном лабораторном оборудовании, общежития с комфортными условиями проживания.Школьники проявили высокий интерес к вузу, который гарантирует успешное будущее. Желаем им успешно сдать экзамены и сделать правильный выбор!"
8,23/10/10,http://www.usurt.ru/uploads/main/0dc/6524cee46214e/chto-takoe-akkreditatsiya-0rxmtsid358k2jidudt2ggh7nccivdng.jpg,В УрГУПС приехали эксперты,"9 октября в Уральском государственном университете путей сообщения стартовала процедура профессионально-общественной аккредитации.Группа независимых экспертов на протяжении этой недели проведет внешнюю экспертизу 18 образовательных программ высшего и среднего профессионального образования.Профессионально-общественная аккредитация образовательной программы представляет собой признание качества и уровня подготовки выпускников, освоивших такую образовательную программу, отвечающую требованиям профессиональных стандартов, требованиям рынка труда к специалистам, рабочим и служащим соответствующего профиля.Желаем всем руководителям удачи, а экспертам - плодотворной работы!"
9,23/10/09,http://www.usurt.ru/uploads/main/0dc/6523789f687af/fCc1lQk3BKg.jpg,Центр защиты прав молодёжи,"В 2023 году запущен Центр защиты прав молодежи, просвещающий студентов в юридической сфере и помогающий в решении правовых вопросов.За время работы Центр смог успешно решить более 95% обращений, а в остальных случаях подсказал, какие есть возможности, чтобы действовать.В штате работают профессионалы в сфере юриспруденции. Они занимаются:защитой прав обучающихся;защитой прав молодёжи в нестандартных ситуациях;мониторингом конфликтных ситуаций;оказанием консультационных услуг молодёжи.Главная цель Центра - бесконфликтно решить возникшие проблемы, наладить связь с государственными структурами и предложить действенное решение.
Обратиться в Центр может каждый без длительного ожидания на линии и оформления письменных заявлений.Сообщить о проблеме в Центр защиты прав молодёжи можно в несколько кликов: достаточно написать о своей ситуации в специальный бот @ask_metelev_bot."
