,name,text,img,imgs
0,"

					О льготах...
","
ВНИМАНИЕ! Курсанты, обучающиеся за счет бюджетных ассигнований федерального бюджета по очной форме обучения, имеющие статус детей-сирот и детей, оставшихся без попечения родителей, имеют право на получение  дополнительных гарантий из федерального бюджета по социальной поддержке
(либо, по желанию обучающегося, на получение денежной компенсации)
согласно ФЗ от 21.12.1996 года № 159-ФЗ «О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей»:
- обеспечение бесплатным питанием;
- обеспечение бесплатным комплектом одежды, обуви и мягким инвентарём;
- выплату пособия на приобретение учебной литературы и письменных принадлежностей;
- возмещение расходов на проезд в городском и пригородном транспорте, в сельской местности на внутрирайонном транспорте (кроме такси),
- возмещение расходов на проезд один раз в год к месту жительства и обратно, к месту учёбы;
Примечание: выплаты производятся по личному заявлению, возмещение расходов на проезд осуществляется на основании предоставленных проездных, билетов, посадочных талонов, квитанций и т.д.
          Кроме того, один раз за все периоды обучения:
- выплачивается компенсация на приобретение одежды, обуви, мягкого инвентаря и оборудования при выпуске.
-  выплату единовременного денежного пособия выпускникам.
        По имеющимся вопросам обращаться по тел. 8 (8422) 39- 82- 75.
",[],[]
1,"

					О переводе или зачислении граждан Российской Федерации, а также от граждан Украины, Донецкой и Луганских народных республик,
","

По вопросам приема  заявлений о переводе или зачислении от граждан Российской Федерации, а также от граждан Украины, Донецкой и Луганских народных республик, вынужденно покинувших территорию республик и прибывших на территорию Российской Федерации, изъявивших желание перевестись в ФГБОУ ВО «Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П, Бугаева»обращаться по телефону: 8(8422) 39-81-40 и эл. почта: 
Этот адрес электронной почты защищен от спам-ботов. У вас должен быть включен JavaScript для просмотра.
   Файзуллин Радик Рамзиевич, проректор по образовательной работе.

 Обратиться за помощью и задать вопросы можно по телефонам горячих линий Минобрнауки России:
7 (495) 547-1366 (доб. 7224) - для граждан Российской Федерации (кроме ДНР, ЛНР и Украины)
7 (495) 547-1366 (доб. 7225) - для граждан Донецкой и Луганской Народных Республик и Украины
7 (495) 122-22-68 - для иностранных граждан желающий обучаться или обучающихся в рамках квоты Правительства РФ (кроме ДНР, ЛНР и Украины)
","['https://uvauga.ru//images/MainNews/VAZNO.jpg', 'https://uvauga.ru//images/img/razdel2.jpg']","['https://uvauga.ru//images/MainNews/VAZNO.jpg', 'https://uvauga.ru//images/img/razdel2.jpg']"
2,"

					Временное проживание в РФ в целях получения образования
","
Информация для иностранных граждан, планирующих обучаться и обучающихся в российских образовательных (научных) организацияхо возможности получения разрешения на временное проживание в Российской Федерации в целях получения образования
С 1 января 2023 года иностранным гражданам, проходящим обучение в государственной образовательной или государственной научной организации по очной форме по программам бакалавриата, специалитета, магистратуры, ординатуры, ассистентуры-стажировки, имеющим государственную аккредитацию,- или по программе подготовки научных- и научно-педагогических кадров в аспирантуре (адъюнктуре) в государственной образовательной или государственной научной организации., предоставлена возможность обратиться с заявлением о выдаче разрешения на временное проживание в целях получения образования (далее - РВПО) в соответствии со статьей 6.2 Федерального закона «О правовом положении иностранных граждан в Российской Федерации» (далее - Федеральный закон).РВПО выдается на срок освоения программы обучения и последующие сто восемьдесят календарных дней после окончания срока обучения, при положительном решении о выдаче РВПО в паспорт иностранного гражданина проставляется соответствующий штамп.Документы о выдаче РВПО подаются иностранным гражданином лично или через Единый портал государственных и муниципальных услуг в подразделение по вопросам миграции, на территории которого проходит обучение.РВПО предоставляет иностранным студентам и аспирантам ряд преимуществ: в случае, если иностранный гражданин прибыл в визовом порядке, ему будет выдана многократная виза на срок действия РВПО; отсутствует обязанность подавать ежегодно уведомление о подтверждении проживания в Российской Федерации в отличие от других режимов проживания в Российской Федерации; студент (аспирант), получивший РВПО, сможет находиться в Российской Федерации в течение всего срока обучения, а после завершения обучения еще полгода, в течение которых можно без выезда из Российской Федерации подать заявление о выдаче вида на жительство; возможность подать заявление о выдаче вида на жительство также предоставля­ ется в течение трех лет после завершения обучения без получения разрешения на вре­ менное проживание; подтверждение владения русским языком, знания истории и основ законода­ тельства Российской Федерации не требуется.При переходе на обучение по очно-заочной или заочной форме или досрочном прекращении обучения в государственной образовательной (научной) организации РВПО аннулируется.После аннулирования РВПО при наличии оснований иностранный гражданин вправе повторно обратиться с заявлением о выдаче РВПО без соблюдения срока, предусмотренного пунктом 6 статьи 6 Федерального закона (не ранее чем через один год со дня отклонения его предыдущего заявления о выдаче РВП либо аннулирования ранее выданного ему РВП).Более полная информация о получении РВПО размещена на сайте МВД России (мвд.рф) в разделе «Деятельность» подразделе «Государственные услуги/ Главного управления по вопросам миграции МВД России».
Основание: Письмо МИНОБРНАУКИ РОССИИ № МН-7/2577 от 29.05.2023г. 
",[],[]
3,"

					Учить. Вдохновлять. Развивать.
","

06 октября 2023 года в читальном зале научно-технической библиотеки института было организовано и проведено мероприятие, посвященное Году педагога и наставника в Российской Федерации «Учить.Вдохновлять. Развивать» с участием Декана факультета подготовки авиационных специалистов УИ ГА, кандидата экономических наук, доцента кафедры гуманитарных и социально-экономических дисциплин Зобова Павла Владимировича, доцента кафедры гуманитарных и социально-экономических дисциплин, кандидата педагогических наук Ерховой Марины Викторовны, на котором присутствовали курсанты 1 курса.
 
В рамках празднования Года педагога и наставника сотрудники НТБ подготовили ряд книжных выставок, на которых была представлена литература педагогической тематики, труды и биографии великих русских педагогов К.Д. Ушинского, А.С. Макаренко, Л.С. Выготского и др., а также учебно- методические пособия, составленные преподавателями УИ ГА. Совместно с дизайнером института были разработаны информационные стенды, на которых запечатлены моменты учебного процесса в УИ ГА и приведены высказывания известных людей о важности профессий педагогической направленности.Мероприятие завершилось торжественным награждением участников. В текущем году исполняется 100 лет гражданской авиации России, в связи с этим каждый присутствующий курсант получил памятный подарок: книгу Маслова М. А. «Поиски Леваневского» и пожелания успехов в освоении учебной программы, хороших оценок и больших достижений.
 
 
 
 
","['https://uvauga.ru//images/du.jpg', 'https://uvauga.ru//images/du2.jpg', 'https://uvauga.ru//images/du1.jpg', 'https://uvauga.ru//images/du3.jpg']","['https://uvauga.ru//images/du.jpg', 'https://uvauga.ru//images/du2.jpg', 'https://uvauga.ru//images/du1.jpg', 'https://uvauga.ru//images/du3.jpg']"
4,"

					VII молодежная научно-практическая конференция
","

Кафедра обеспечения авиационной безопасности совместно с Академией гражданской авиации республики Казахстан 05 октября 2023 года провели в режиме онлайн VII молодежную научно-практическую конференцию, посвященную Дню солидарности в борьбе с терроризмом. Кроме курсантов и преподавателей в обсуждении актуальных вопросов противодействию экстремизму и терроризму приняли участие представитель Аппарата антитеррористической комиссии в Ульяновской области Онуфрейчик Виктор Михайлович, директор центра патриотического воспитания Ульяновской области Почтарев Валерий Юрьевич.По результатам конференции декан факультета ПАС Зобов П.В. вручил участникам конференции сертификаты участников.

 
","['https://uvauga.ru//images/OAB/logotip_oab.jpg', 'https://uvauga.ru//images/MainNews/4.jpg', 'https://uvauga.ru//images/MainNews/3.jpg']","['https://uvauga.ru//images/OAB/logotip_oab.jpg', 'https://uvauga.ru//images/MainNews/4.jpg', 'https://uvauga.ru//images/MainNews/3.jpg']"
5,"

					Видеоматериалы проекта «Наука и университеты»
","

 
ВЫБЕРИ СВОЮ НАУЧНУЮ СПЕЦИАЛЬНОСТЬНАУЧНУЮ СПЕЦИАЛЬНОСТЬ ➤➤➤



",['https://uvauga.ru//images/MainNews/navigatornaukarf-23.jpg'],['https://uvauga.ru//images/MainNews/navigatornaukarf-23.jpg']
6,"

					Об участии во Всероссийском марафоне донорства
","

Об участии во Всероссийском марафоне донорства
23 сентября 2023 года ректор института Африкантов Николай Николаевич совместно с профессорского-преподавательским составом и курсантами института торжественно встретили участников «Всероссийского марафона донорства костного мозга», приуроченного к Году педагога и наставника. Цель – содействие в привлечении доноров в Федеральный регистр доноров для помощи ближним. Проект реализуется при поддержке Координационного совета по донорству крови при Общественной палате Российской Федерации, Национального фонда развития здравоохранения.
Ректор института в приветственном слове подчеркнул особую значимость любви к родине, поддержки ближних в сложных жизненных ситуациях, социальную важность проекта в условиях введенных санкций и специальной военной операции. Начальник отдела развития донорства Кировского научно-исследовательского института гематологии и переливания крови Федерального медико-биологического агентства Малышева Наталья Алексеевна раскрыла механизм работы, пояснила о донорстве костного мозга на современном этапе развития медицины исключительно из крови.  Главный врач ГУЗ Ульяновская областная станция переливания крови Хапман Марат Эрикович поблагодарил курсантов института за участие в деле донорства, отметил спасительную роль отзывчивости и соучастия в условиях современных вызовов. Поддержали проект на площадке института также медики-волонтеры и широкий состав членов молодежного совета Управления Федеральной службы судебных приставов России по Ульяновской области. Декан факультета подготовки авиационных специалистов Зобов Павел Владимирович предложил продолжить сотрудничество и совместную поддержку системы здравоохранения и движения доноров, особую благодарность выразил амбассодору донорства костного мозга Алискерову Артему Ахметовичу.
  
","['https://uvauga.ru//images/MainNews/donor-09-2023/donor-09-23-00.jpg', 'https://uvauga.ru//images/MainNews/donor-09-2023/donor-09-23-01.jpg', 'https://uvauga.ru//images/MainNews/donor-09-2023/donor-09-23-02.jpg', 'https://uvauga.ru//images/MainNews/donor-09-2023/donor-09-23-03.jpg']","['https://uvauga.ru//images/MainNews/donor-09-2023/donor-09-23-00.jpg', 'https://uvauga.ru//images/MainNews/donor-09-2023/donor-09-23-01.jpg', 'https://uvauga.ru//images/MainNews/donor-09-2023/donor-09-23-02.jpg', 'https://uvauga.ru//images/MainNews/donor-09-2023/donor-09-23-03.jpg']"
7,"

					II  Всероссийская конференция ""Физическая культура как одно из направлений молодёжной политики в Российской Федерации
","

20-21 июня в г. Москва, прошла II Всероссийская конференция ""Физическая культура как одно из направлений молодёжной политики в Российской Федерации"", которая была организована Российским университетом спорта «ГЦОЛИФК», Общероссийской общественной организацией «Российский студенческий спортивный союз» и Комитетом по молодёжной политике Государственной Думы РФ.Савельев Сергей Николаевич, ассистент кафедры физической культуры и спорта факультета подготовки авиационных специалистов, председатель спортивного студенческого клуба «Крылья», выступил с докладом на тему: «Студенческий спортивный клуб, как эффективное средство развития студенческого спорта».
Одним из ключевых вопросов, обсуждаемых на конференции, была необходимость развития студенческих спортивных клубов. Согласно президентской Программе в образовательных организациях высшего образования к 2024 году должны быть созданы не менее 500 таких клубов.
Савельев Сергей Николаевич представил опыт студенческого клуба «Крылья» Ульяновского института гражданской авиации. Благодаря  выстроенной системе деятельности клуба, сборная команда курсантов нашего института обеспечила лидирующую позицию в региональной Универсиаде среди ВУЗов Ульяновской области. Увеличилось количество курсантов систематически занимающихся физической культурой и спортом, участвующих во Всероссийских фестивалях студенческого спорта, фестивалях Всероссийского физкультурно-спортивного комплекса «Готов к труду и обороне» (ГТО) среди студентов образовательных организаций высшего образования, ежегодных Всероссийских соревнованиях по отдельным видам спорта.
Всего в Конференции приняли участие более 500 человек из 23 регионов России.


","['https://uvauga.ru//images/MainNews/rkfkis.jpg', 'https://uvauga.ru//images/MainNews/1.jpg', 'https://uvauga.ru//images/MainNews/2.1.jpg', 'https://uvauga.ru//images/MainNews/3.1.jpg']","['https://uvauga.ru//images/MainNews/rkfkis.jpg', 'https://uvauga.ru//images/MainNews/1.jpg', 'https://uvauga.ru//images/MainNews/2.1.jpg', 'https://uvauga.ru//images/MainNews/3.1.jpg']"
8,"

					Мероприятия Всероссийского фестиваля RuCode
","

Всероссийский фестиваль RuCode по искусственному интеллекту в физике, математике, инжиниринге и науках о жизни
Фестиваль RuCode проводится с целью популяризация достижений российских исследователей в области искусственного интеллекта. Фестиваль предназначен для широкой аудитории, интересующейся развитием и применением методов и инструментов искусственного интеллекта в различных предметных областях.
Фестиваль организован консорциумом из 18 ведущих российских университетов из разных субъектов Российской Федерации и двух общественных организаций.
В 2023 году мероприятие проходит при грантовой поддержке Министерства науки и высшего образования Российской Федерации в рамках федерального проекта «Популяризация науки и технологий».
Осенние мероприятия Фестиваля RuCode проходят с 1 сентября до 31 октября 2023 г. и включают:
• научно-популярную и образовательную программу по алгоритмическому программированию;
• чемпионаты по искусственному интеллекту и алгоритмическому программированию онлайн и офлайн, принять участие в которых может каждый. Выбирайте свой уровень и решайте интересные задачи на индустриальных данных от ведущих российских компаний: ГК «Росатом» и АО «ПФ «СКБ Контур»;
• интерактивную тест-игру: «Искусственный интеллект или ты? Узнай, за кем будущее». Все желающие смогут проверить свой уровень грамотности в области искусственного интеллекта и получить краткое руководство по ее совершенствованию;
• Всероссийскую научную конференцию с международным участием «Дизайн междисциплинарных исследований в контексте сближения моделей естественнонаучного и гуманитарно-социального знания».
Участие в мероприятиях будет интересно всем, кто хотел бы узнать о современных возможностях и инструментах на основе искусственного интеллекта и как его можно применить в различных направлениях, включая физику, математику, инжиниринг, науки о жизни, гуманитарные исследования и т.п.
Мероприятия проходят в онлайн формате, очный этап фестиваля состоится 14–15 октября 2023 г.
Участие во всех мероприятиях фестиваля бесплатное.
Регистрация, а также дополнительная информация о фестивале RuCode по ссылке: https://rucode.net/.
Контактное лицо со стороны МФТИ: Коротких Полина Викторовна +79638699286, 
 Этот адрес электронной почты защищен от спам-ботов. У вас должен быть включен JavaScript для просмотра.
 
",['https://uvauga.ru//images/MainNews/rucode.jpg'],['https://uvauga.ru//images/MainNews/rucode.jpg']
9,"

					Всероссийский историко-просветительский форум «Курс молодого бойца. Информационный фронт»
","

Всероссийский историко-просветительский форум «Курс молодого бойца. Информационный фронт»
Всероссийский историко-просветительский форум «Курс молодого бойца. Информационный фронт» – мероприятие Российского военно-исторического общества (https://vk.com/rvio_ru), призванное объединить молодых людей в возрасте от 18 до 30 лет, которые занимаются созданием просветительского информационного контента в сети «Интернет».
В рамках форума молодых людей ожидают образовательные лекции, практикумы, мастер-классы, спортивные состязания, а также досуговая программа.
Спикерами образовательного блока выступят известные историки, общественные деятели, а также блогеры, журналисты, информационные аналитики, признанные как российским, так и международным сообществом такие, как: Дмитрий Пучков, Михаил Онуфриенко, Егор Яковлев, Трофим Татаренков, а также специалисты компании «ВКонтакте» и медиагруппы «Комсомольская правда» и многие другие.
Эксперты научат участников методике работы с информацией, формированию личного контента, эксклюзивному освещению информационных поводов в социальных сетях, способам борьбы с фейками, особенностям профессиональной журналистики, а также расскажут о прошлом и будущем России.
Кроме того, участников мероприятия ждет работа над личными страницами совместно с экспертами, которые могут быть поддержаны последними уже в текущем году!
Мероприятие проводится при поддержке Министерства просвещения Российской Федерации (https://vk.com/minprosvet) в рамках национального проекта «Образование» (https://vk.com/nationalprojectsru).
Регистрация продлиться до 10.09.2023 г.
Для регистрации на форум необходимо зайти на сайт АИС «Молодежь России»: https://myrosmol.ru, зарегистрироваться на сайте/войти в уже имеющийся личный кабинет. После перехода в личный кабинет пользователю откроется список мероприятий, доступных для участия, необходимо найти мероприятие «Всероссийский историко-просветительский форум «Курс молодого бойца. Информационный фронт» и нажать «Подробнее», после чего кликнуть на форму для заполнения потенциального участника.
ВАЖНО: участниками форума могут стать граждане Российской Федерации от 18 до 30 лет, кроме того, в рамках заявленной формы потенциального участника необходимо заполнить все имеющиеся поля. В случае прохождения отбора участникам будут оплачены проезд, проживание и питани
",['https://uvauga.ru//images/MainNews/kurs-mol-boiza.jpg'],['https://uvauga.ru//images/MainNews/kurs-mol-boiza.jpg']
